DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,TEMPC,HUMIDITY,WINDSPEEDKMH,WINDDIRDEGREE,WEATHERCODE,VISIBILITY,CLOUDCOVER,PRESSURE
1,7,2017-01-01,AA,19805,AA,N3CGAA,307,11292,1129202,30325,DEN,"Denver, CO",CO,14107,1410702,PHX,"Phoenix, AZ",AZ,1145,1135,-10.0,0.0,1100-1159,1328,0.0,0.0,0.0,602.0,6,44,1,180,113,10,0,1001
1,7,2017-01-01,AA,19805,AA,N3CGAA,307,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,14057,1405702,PDX,"Portland, OR",OR,1510,1502,-8.0,0.0,1500-1559,1653,0.0,0.0,0.0,1009.0,15,78,11,208,353,10,100,1008
1,7,2017-01-01,AA,19805,AA,N3EVAA,309,11278,1127803,30852,DCA,"Washington, DC",VA,13303,1330303,MIA,"Miami, FL",FL,659,646,-13.0,0.0,0600-0659,930,0.0,0.0,0.0,919.0,5,61,11,220,113,10,0,1019
1,7,2017-01-01,AA,19805,AA,N3NAAA,310,13303,1330303,32467,MIA,"Miami, FL",FL,12953,1295302,LGA,"New York, NY",NY,1405,1402,-3.0,0.0,1400-1459,1646,0.0,0.0,0.0,1096.0,26,83,23,130,113,10,0,1022
1,7,2017-01-01,AA,19805,AA,N3FCAA,311,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,11292,1129202,DEN,"Denver, CO",CO,2254,2310,16.0,1.0,2200-2259,107,1.0,0.0,0.0,602.0,12,78,12,196,122,10,100,1013
1,7,2017-01-01,AA,19805,AA,N3LMAA,311,14747,1474703,30559,SEA,"Seattle, WA",WA,14107,1410702,PHX,"Phoenix, AZ",AZ,1759,1800,1.0,0.0,1700-1759,2141,0.0,0.0,0.0,1107.0,2,79,10,240,113,10,32,1008
1,7,2017-01-01,AA,19805,AA,N3DVAA,312,13930,1393004,30977,ORD,"Chicago, IL",IL,13487,1348702,MSP,"Minneapolis, MN",MN,1335,1357,22.0,1.0,1300-1359,1523,1.0,0.0,0.0,334.0,-1,87,14,201,143,7,22,1022
1,7,2017-01-01,AA,19805,AA,N3KCAA,313,13303,1330303,32467,MIA,"Miami, FL",FL,10821,1082104,BWI,"Baltimore, MD",MD,2035,2035,0.0,0.0,2000-2059,2253,0.0,0.0,0.0,946.0,23,85,24,108,113,10,0,1022
1,7,2017-01-01,AA,19805,AA,N3DHAA,314,13303,1330303,32467,MIA,"Miami, FL",FL,13930,1393004,ORD,"Chicago, IL",IL,2129,2135,6.0,0.0,2100-2159,2343,0.0,0.0,0.0,1197.0,23,85,24,108,113,10,0,1022
1,7,2017-01-01,AA,19805,AA,N4XKAA,315,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,14683,1468303,SAT,"San Antonio, TX",TX,1235,1330,55.0,1.0,1200-1259,1423,1.0,0.0,0.0,247.0,22,87,9,182,122,10,100,1013
